question,answer,nhops,base_question,cypher,neo4j_response,evaluation,evaluation_error
what are the films that are directed by the same director of [The Princess of Montpensier],Life and Nothing But|A Sunday in the Country|Safe Conduct|The Judge and the Assassin|It All Starts Today|In the Electric Mist|The French Minister|Death Watch,2,what are the films that are directed by the same director of [],"MATCH (m:movie {name: ""The Princess of Montpensier""})-[:directed_by]->(d:director)<-[:directed_by]-(other_movies:movie)
RETURN other_movies.name","[{'other_movies.name': 'The French Minister'}, {'other_movies.name': 'It All Starts Today'}, {'other_movies.name': 'Life and Nothing But'}, {'other_movies.name': 'A Sunday in the Country'}, {'other_movies.name': 'Death Watch'}, {'other_movies.name': 'Safe Conduct'}, {'other_movies.name': 'In the Electric Mist'}, {'other_movies.name': 'The Judge and the Assassin'}]",matched,
which films have the same actor of [The Misfits],"Any Number Can Play|A Free Soul|Clash by Night|The Young Lions|No Man of Her Own|Gentlemen Prefer Blondes|I Confess|We're Not Married!|Red River|It Happened One Night|River of No Return|Test Pilot|After Office Hours|San Francisco|Idiot's Delight|Comrade X|Wife vs. Secretary|The Search|It Started in Naples|Teacher's Pet|Across the Wide Missouri|Red Dust|Wild River|Saratoga|The Hucksters|Mogambo|How to Marry a Millionaire|The Call of the Wild|Betrayed|Lonelyhearts|Polly of the Circus|Some Like It Hot|The Mating Season|The Heiress|From Here to Eternity|Mutiny on the Bounty|Soldier of Fortune|China Seas|Boom Town|Command Decision|There's No Business Like Show Business|Don't Bother to Knock|Manhattan Melodrama|Forsaking All Others|But Not for Me|Bus Stop|Monkey Business|Let's Make Love|Suddenly, Last Summer|Possessed|Rear Window|Night Flight|Too Hot to Handle|Birdman of Alcatraz|Pillow Talk|The King and Four Queens|With a Song in My Heart|Raintree County|Niagara|Night Nurse|The Tall Men|Cain and Mabel|Daddy Long Legs|Dancing Lady|The Big Lift|Pickup on South Street|A Place in the Sun|The Seven Year Itch|Strange Cargo",2,which films have the same actor of [],"MATCH (m1:movie {name: ""The Misfits""})-[:starred_actors]->(a:actor)<-[:starred_actors]-(m2:movie) WHERE m1 <> m2 RETURN m2.name","[{'m2.name': 'Red River'}, {'m2.name': 'Raintree County'}, {'m2.name': 'The Search'}, {'m2.name': 'Lonelyhearts'}, {'m2.name': 'I Confess'}, {'m2.name': 'The Heiress'}, {'m2.name': 'Suddenly, Last Summer'}, {'m2.name': 'A Place in the Sun'}, {'m2.name': 'The Big Lift'}, {'m2.name': 'Wild River'}, {'m2.name': 'From Here to Eternity'}, {'m2.name': 'The Young Lions'}, {'m2.name': 'Too Hot to Handle'}, {'m2.name': 'Forsaking All Others'}, {'m2.name': 'Boom Town'}, {'m2.name': 'After Office Hours'}, {'m2.name': 'Comrade X'}, {'m2.name': 'Betrayed'}, {'m2.name': 'San Francisco'}, {'m2.name': 'Mogambo'}, {'m2.name': 'It Happened One Night'}, {'m2.name': 'Dancing Lady'}, {'m2.name': 'Mutiny on the Bounty'}, {'m2.name': 'The Hucksters'}, {'m2.name': 'But Not for Me'}, {'m2.name': ""Teacher's Pet""}, {'m2.name': 'Red Dust'}, {'m2.name': 'The King and Four Queens'}, {'m2.name': 'A Free Soul'}, {'m2.name': 'Night Flight'}, {'m2.name': 'Wife vs. Secretary'}, {'m2.name': 'Cain and Mabel'}, {'m2.name': 'Any Number Can Play'}, {'m2.name': 'Polly of the Circus'}, {'m2.name': 'Manhattan Melodrama'}, {'m2.name': 'Possessed'}, {'m2.name': 'It Started in Naples'}, {'m2.name': 'Command Decision'}, {'m2.name': 'The Call of the Wild'}, {'m2.name': 'Across the Wide Missouri'}, {'m2.name': 'The Tall Men'}, {'m2.name': 'China Seas'}, {'m2.name': 'Night Nurse'}, {'m2.name': 'No Man of Her Own'}, {'m2.name': 'Saratoga'}, {'m2.name': ""Idiot's Delight""}, {'m2.name': 'Soldier of Fortune'}, {'m2.name': 'Test Pilot'}, {'m2.name': 'Strange Cargo'}, {'m2.name': ""We're Not Married!""}, {'m2.name': 'Gentlemen Prefer Blondes'}, {'m2.name': 'Clash by Night'}, {'m2.name': 'Monkey Business'}, {'m2.name': 'The Seven Year Itch'}, {'m2.name': ""There's No Business Like Show Business""}, {'m2.name': ""Don't Bother to Knock""}, {'m2.name': 'How to Marry a Millionaire'}, {'m2.name': ""Let's Make Love""}, {'m2.name': 'River of No Return'}, {'m2.name': 'Some Like It Hot'}, {'m2.name': 'Niagara'}, {'m2.name': 'Bus Stop'}, {'m2.name': 'Pickup on South Street'}, {'m2.name': 'Rear Window'}, {'m2.name': 'The Mating Season'}, {'m2.name': 'Daddy Long Legs'}, {'m2.name': 'With a Song in My Heart'}, {'m2.name': 'Pillow Talk'}, {'m2.name': 'Birdman of Alcatraz'}]",matched,
who is listed as director of [Anthony Rapp] starred movies,Chris Columbus,2,who is listed as director of [] starred movies,"MATCH (m:movie)-[:starred_actors]->(a:actor {name: ""Anthony Rapp""}), (m)-[:directed_by]->(d:director)
RETURN d.name AS Director",[{'Director': 'Chris Columbus'}],matched,
who are movie co-directors of [Jerome Robbins],Robert Wise,2,who are movie co-directors of [],"MATCH (m:movie)-[:directed_by]->(d1:director {name: ""Jerome Robbins""}), (m)-[:directed_by]->(d2:director) WHERE d1 <> d2 RETURN d2.name;",[{'d2.name': 'Robert Wise'}],matched,
who is listed as screenwriter of [Steven Hilliard Stern] directed movies,Stephen Peters,2,who is listed as screenwriter of [] directed movies,"MATCH (m:movie)-[:directed_by]->(d:director {name: ""Steven Hilliard Stern""}), (m)-[:written_by]->(w:writer)
RETURN w.name as Screenwriter","[{'Screenwriter': 'Stephen Peters'}, {'Screenwriter': 'Steven Hilliard Stern'}]",matched,
the screenwriter of [Lumumba] also wrote which films,Sometimes in April,2,the screenwriter of [] also wrote which films,"MATCH (m:movie {name: ""Lumumba""})-[:written_by]->(w:writer)<-[:written_by]-(other_movies:movie)
WHERE m <> other_movies
RETURN other_movies.name",[{'other_movies.name': 'Sometimes in April'}],matched,
what are the primary languages in the movies acted by [Franco Califano],Italian,2,what are the primary languages in the movies acted by [],"MATCH (a:actor {name: ""Franco Califano""})<-[:starred_actors]-(m:movie)-[:in_language]->(l:language)
RETURN l.name as Primary_Languages",[{'Primary_Languages': 'Italian'}],matched,
the movies directed by [Shinji Aoyama] were released in which years,2000|1983,2,the movies directed by [] were released in which years,"MATCH (m:movie)-[:directed_by]->(d:director {name: ""Shinji Aoyama""}), (m)-[:release_year]->(y:year)
RETURN m.name, y.name","[{'m.name': 'Eureka', 'y.name': '1983'}, {'m.name': 'Eureka', 'y.name': '2000'}]",matched,
the actor in [The Apple] also appears in which movies,Mischief|Night of the Comet,2,the actor in [] also appears in which movies,"MATCH (m1:movie {name: ""The Apple""})-[:starred_actors]->(a:actor)<-[:starred_actors]-(m2:movie)
WHERE m1.node_id <> m2.node_id
RETURN m2.name","[{'m2.name': 'Night of the Comet'}, {'m2.name': 'Mischief'}]",matched,
what were the release dates of [Debby Ryan] starred movies,2010|2012,2,what were the release dates of [] starred movies,"MATCH (a:actor {name: ""Debby Ryan""})<-[:starred_actors]-(m:movie)-[:release_year]->(y:year)
RETURN m.name, y.name","[{'m.name': 'Radio Rebel', 'y.name': '2012'}, {'m.name': 'What If...', 'y.name': '2012'}, {'m.name': 'What If...', 'y.name': '2010'}]",matched,
what genres do the films written by [Buddy Giovinazzo] fall under,Drama|Horror|Crime,2,what genres do the films written by [] fall under,"MATCH (w:writer {name: ""Buddy Giovinazzo""})-[:written_by]-(m:movie)-[:has_genre]-(g:genre)
RETURN g.name","[{'g.name': 'Horror'}, {'g.name': 'Crime'}, {'g.name': 'Drama'}, {'g.name': 'Drama'}]",matched,
what genres are the films acted by [Ben Cross] in,Romance|Drama|Fantasy|Adventure|Action|Thriller,2,what genres are the films acted by [] in,"MATCH (a:actor {name: ""Ben Cross""})<-[:starred_actors]-(m:movie)-[:has_genre]->(g:genre)
RETURN g.name","[{'g.name': 'Thriller'}, {'g.name': 'Drama'}, {'g.name': 'Adventure'}, {'g.name': 'Fantasy'}, {'g.name': 'Action'}, {'g.name': 'Romance'}, {'g.name': 'Adventure'}]",matched,
who directed the films written by [Kerry Douglas Dye],Victor Salva|Darin Scott,2,who directed the films written by [],"MATCH (w:writer {name: ""Kerry Douglas Dye""})-[:written_by]-(m:movie)-[:directed_by]-(d:director)
RETURN d.name","[{'d.name': 'Darin Scott'}, {'d.name': 'Victor Salva'}]",matched,
who is listed as director of [Steven Kampmann] written films,William Porter,2,who is listed as director of [] written films,"MATCH (m:movie)-[:written_by]->(w:writer {name: ""Steven Kampmann""}), (m)-[:directed_by]->(d:director)
RETURN d.name","[{'d.name': 'Steven Kampmann'}, {'d.name': 'William Porter'}]",matched,
what genres do the films directed by [Marleen Gorris] fall under,Drama|Comedy,2,what genres do the films directed by [] fall under,,[],unmatched,
the actor of [The Brood] also starred in which films,The Assassination Bureau|The Devils|Venom|Burnt Offerings|Lion of the Desert|A Name for Evil|Condorman|The Walking Stick|Z.P.G.|Treasure Island|The Hunting Party|Castaway|The Adventures of Baron Munchausen|The Curse of the Werewolf|Tommy|Doctor Dolittle|Women in Love|The Collector|I'll Never Forget What's'isname|Take a Girl Like You|Royal Flash|Gladiator,2,the actor of [] also starred in which films,"MATCH (m:movie {name: ""The Brood""})-[:starred_actors]->(a:actor)<-[:starred_actors]-(other_movies:movie)
RETURN other_movies.name","[{'other_movies.name': 'The Walking Stick'}, {'other_movies.name': 'The Collector'}, {'other_movies.name': 'A Name for Evil'}, {'other_movies.name': 'Doctor Dolittle'}, {'other_movies.name': 'Women in Love'}, {'other_movies.name': 'Lion of the Desert'}, {'other_movies.name': 'The Adventures of Baron Munchausen'}, {'other_movies.name': 'Venom'}, {'other_movies.name': 'Take a Girl Like You'}, {'other_movies.name': 'Royal Flash'}, {'other_movies.name': 'Tommy'}, {'other_movies.name': 'Castaway'}, {'other_movies.name': 'The Assassination Bureau'}, {'other_movies.name': ""I'll Never Forget What's'isname""}, {'other_movies.name': 'The Devils'}, {'other_movies.name': 'The Hunting Party'}, {'other_movies.name': 'Treasure Island'}, {'other_movies.name': 'Burnt Offerings'}, {'other_movies.name': 'Z.P.G.'}, {'other_movies.name': 'The Curse of the Werewolf'}, {'other_movies.name': 'Condorman'}, {'other_movies.name': 'Gladiator'}]",matched,
the director of [Min and Bill] also directed which movies,Tell It to the Marines|The Big House|The Secret Six,2,the director of [] also directed which movies,"MATCH (m:movie {name: ""Min and Bill""})-[:directed_by]->(:director)<-[:directed_by]-(other_movies:movie)
RETURN other_movies.name","[{'other_movies.name': 'Tell It to the Marines'}, {'other_movies.name': 'The Big House'}, {'other_movies.name': 'The Secret Six'}]",matched,
what are the genres of the movies acted by [Annette O'Toole],Drama|Comedy,2,what are the genres of the movies acted by [],"MATCH (a:actor {name: ""Annette O'Toole""})<-[:starred_actors]-(m:movie)-[:has_genre]->(g:genre)
RETURN g.name","[{'g.name': 'Comedy'}, {'g.name': 'Drama'}]",matched,
who co-starred with [Eusebio Poncela],Antonio Dechent|Leonardo Sbaraglia|Mónica López,2,who co-starred with [],"MATCH (a:actor {name: ""Eusebio Poncela""})<-[:starred_actors]-(m:movie)-[:starred_actors]->(co_star:actor)
WHERE a.node_id <> co_star.node_id
RETURN co_star.name","[{'co_star.name': 'Mónica López'}, {'co_star.name': 'Antonio Dechent'}, {'co_star.name': 'Leonardo Sbaraglia'}]",matched,
which directors co-directed films with [Sydney Pollack],Billy Wilder,2,which directors co-directed films with [],"MATCH (d1:director {name: ""Sydney Pollack""})<-[:directed_by]-(m:movie)-[:directed_by]->(d2:director)
WHERE d1.name <> d2.name
RETURN d2.name",[{'d2.name': 'Billy Wilder'}],matched,
the films acted by [Shane Johnson] were in which genres,Horror|Thriller,2,the films acted by [] were in which genres,"MATCH (a:actor {name: ""Shane Johnson""})<-[:starred_actors]-(m:movie)-[:has_genre]->(g:genre) RETURN m.name, g.name","[{'m.name': 'Black Cadillac', 'g.name': 'Horror'}, {'m.name': 'Black Cadillac', 'g.name': 'Thriller'}]",matched,
who are the actors in the films directed by [Chris Brinker],Willem Dafoe|Matt Dillon|Amy Smart,2,who are the actors in the films directed by [],"MATCH (director:director {name: ""Chris Brinker""})<-[:directed_by]-(movie:movie)-[:starred_actors]->(actor:actor) RETURN actor.name;","[{'actor.name': 'Matt Dillon'}, {'actor.name': 'Amy Smart'}, {'actor.name': 'Willem Dafoe'}]",matched,
what are the main languages in [Kiminori Wakasugi] written films,Japanese,2,what are the main languages in [] written films,"MATCH (w:writer {name: ""Kiminori Wakasugi""})<-[:written_by]-(m:movie)-[:in_language]->(l:language)
RETURN l.name, COUNT(*) as count
ORDER BY count DESC","[{'l.name': 'Japanese', 'count': 1}]",matched,
who directed the films starred by [John Lloyd Fillingham],Stuart Hazeldine,2,who directed the films starred by [],"MATCH (a:actor {name: ""John Lloyd Fillingham""})-[:starred_actors]-(m:movie)-[:directed_by]->(d:director) RETURN d.name",[{'d.name': 'Stuart Hazeldine'}],matched,
which films have the same director of [Libel],The V.I.P.s|Orders to Kill|The Winslow Boy|The Browning Version,2,which films have the same director of [],"MATCH (m:movie {name: ""Libel""})-[:directed_by]->(d:director)<-[:directed_by]-(other_movies:movie)
RETURN other_movies.name","[{'other_movies.name': 'The Browning Version'}, {'other_movies.name': 'The Winslow Boy'}, {'other_movies.name': 'The V.I.P.s'}, {'other_movies.name': 'Orders to Kill'}]",matched,
who are the directors of the movies written by [William Robertson],Alex Zamm,2,who are the directors of the movies written by [],"MATCH (w:writer {name: ""William Robertson""})<-[:written_by]-(m:movie)-[:directed_by]->(d:director) RETURN d.name",[{'d.name': 'Alex Zamm'}],matched,
who is listed as screenwriter of [Carl Anderson] acted films,Norman Jewison|Tim Rice,2,who is listed as screenwriter of [] acted films,"MATCH (m:movie)-[:starred_actors]->(a:actor {name: ""Carl Anderson""}), (m)-[:written_by]->(w:writer)
RETURN w.name as Screenwriter","[{'Screenwriter': 'Norman Jewison'}, {'Screenwriter': 'Tim Rice'}]",matched,
what are the languages spoken in the films starred by [Antonella Attili],German|Italian,2,what are the languages spoken in the films starred by [],"MATCH (a:actor {name: ""Antonella Attili""})<-[:starred_actors]-(m:movie)-[:in_language]->(l:language) RETURN l.name;","[{'l.name': 'Italian'}, {'l.name': 'German'}]",matched,
what are the films that have the same actor of [Sunday],Shadow Magic|The Boxtrolls|The Quiet Ones|I Shot Andy Warhol|Igby Goes Down,2,what are the films that have the same actor of [],"MATCH (m:movie)-[:starred_actors]->(a:actor)<-[:starred_actors]-(sunday:movie {name: ""Sunday""})
RETURN m.name","[{'m.name': 'Igby Goes Down'}, {'m.name': 'Shadow Magic'}, {'m.name': 'The Quiet Ones'}, {'m.name': 'The Boxtrolls'}, {'m.name': 'I Shot Andy Warhol'}]",matched,
what were the release dates of [Maud Adams] acted films,1981,2,what were the release dates of [] acted films,"MATCH (a:actor {name: 'Maud Adams'})<-[:starred_actors]-(m:movie)-[:release_year]->(y:year)
RETURN m.name as Movie, y.name as Release_Date","[{'Movie': 'Tattoo', 'Release_Date': '1981'}]",matched,
the screenwriter of [Madadayo] also wrote which movies,Seven Samurai|Last Man Standing|The Bad Sleep Well|Yojimbo|After the Rain|Throne of Blood|Rashomon|Rhapsody in August|Dersu Uzala|The Hidden Fortress|Kagemusha|Red Beard|Sanshiro Sugata|Dreams|Sanjuro|Ran|High and Low|The Quiet Duel|Runaway Train|Stray Dog|One Wonderful Sunday|Ikiru|Drunken Angel|Dodes'ka-den,2,the screenwriter of [] also wrote which movies,"MATCH (m:movie {name: ""Madadayo""})-[:written_by]->(w:writer)<-[:written_by]-(otherMovies:movie)
RETURN otherMovies.name","[{'otherMovies.name': 'Last Man Standing'}, {'otherMovies.name': 'Seven Samurai'}, {'otherMovies.name': 'Kagemusha'}, {'otherMovies.name': 'Ran'}, {'otherMovies.name': 'Runaway Train'}, {'otherMovies.name': 'Ikiru'}, {'otherMovies.name': 'The Bad Sleep Well'}, {'otherMovies.name': 'Rashomon'}, {'otherMovies.name': 'After the Rain'}, {'otherMovies.name': 'Drunken Angel'}, {'otherMovies.name': 'Throne of Blood'}, {'otherMovies.name': 'Sanjuro'}, {'otherMovies.name': 'Sanshiro Sugata'}, {'otherMovies.name': 'One Wonderful Sunday'}, {'otherMovies.name': 'High and Low'}, {'otherMovies.name': ""Dodes'ka-den""}, {'otherMovies.name': 'The Quiet Duel'}, {'otherMovies.name': 'Rhapsody in August'}, {'otherMovies.name': 'Dersu Uzala'}, {'otherMovies.name': 'Stray Dog'}, {'otherMovies.name': 'Yojimbo'}, {'otherMovies.name': 'Dreams'}, {'otherMovies.name': 'Red Beard'}, {'otherMovies.name': 'The Hidden Fortress'}]",matched,
who are the directors of the movies acted by [Danielle Cormack],Paul Middleditch|John Polson|Harry Sinclair,2,who are the directors of the movies acted by [],"MATCH (a:actor {name: ""Danielle Cormack""})-[:starred_actors]-(m:movie)-[:directed_by]->(d:director) RETURN d.name;","[{'d.name': 'Harry Sinclair'}, {'d.name': 'Paul Middleditch'}, {'d.name': 'John Polson'}]",matched,
who wrote the movies acted by [Kevin Bishop],Robert Louis Stevenson,2,who wrote the movies acted by [],"MATCH (a:actor {name:'Kevin Bishop'})-[:starred_actors]-(m:movie)-[:written_by]-(w:writer)
RETURN w.name, m.name","[{'w.name': 'Robert Louis Stevenson', 'm.name': 'Muppet Treasure Island'}]",matched,
